breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Saint Berdoodle,Dog,,United States,61-76 cm,32-68 kg,8-12 years,"Gentle, Friendly, Intelligent, Affectionate, Calm",A cross between Saint Bernard and Poodle.,3.2,5,5,5,3,4,4,4,3,5,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.6,3.6,88,78.6,1,0.75,1,0.5,0.5,1,0.75,0.55,0.621621622,0.615384615,Good,Good,Excellent,Good,Family Dog,Best for families with children,88,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",11800,45,3,6,7.5,200,800,14100
Saint Bernard,Dog,,Switzerland,65-90 cm,54-82 kg,8-10 years,"Lively, Gentle, Friendly, Watchful, Calm",A giant Swiss rescue dog famous for Alpine rescues.,3,5,5,5,3,2,2,4,4,5,5,1,0,https://en.wikipedia.org/wiki/St._Bernard_(dog),4.2,4.4,92,90,1,1,1,0.5,0,1,0.75,0.5,0.783783784,0.923076923,Excellent,Excellent,Excellent,Excellent,Family Dog,Best for families with children; Ideal for seniors or calm households; Well-suited for city living,88,"Family Dog, City / Apartment Dog",Young professional in apartment; Family with young children; Senior or retired owner,"Calm energy, good adaptability, and low vocalisation make this breed suitable for apartment living and busy urban lifestyles. High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners.",3,3,3,60,Temperate,3,"Soy, Corn",3,High,"Large-breed formula, Joint support",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",16100,45,10,6,7.5,3900,2000,24200
Saluki,Dog,Persian Greyhound,Middle East,58-71 cm,16-29 kg,10-17 years,"Aloof, Reserved, Intelligent, Gentle, Quiet",An ancient Middle Eastern sighthound.,2.2,5,4,4,5,4,4,4,2,4.33,1,1,0,https://en.wikipedia.org/wiki/Saluki,3.4,2.8,61,59.6,0.75,0,0.75,1,0,1,0.75,0.3,0.567567568,0.307692308,Good,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,100,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, soy, grains",3,Low,"High-protein, Easily digestible",archetype,archetype,Needs large open space; not ideal for small flats.,5300,120,3,6,8.5,200,800,6900
Samoyed,Dog,Sammy,Russia,48-60 cm,16-30 kg,12-14 years,"Playful, Alert, Friendly, Lively, Stubborn",A white fluffy Russian sled dog with smiling expression.,3,5,5,5,5,1,3,3,5,5,5,3,0,https://en.wikipedia.org/wiki/Samoyed_(dog),2.8,3.2,84,80,1,1,1,1,0.5,1,0.5,0.5,0.405405405,0.461538462,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Hardy northern breeds),3,Medium,"High-protein, High-fat",archetype,archetype,Needs large open space; not ideal for small flats.,5400,120,16.5,6,9,5300,1200,13100
Samusky,Dog,,United States,51-61 cm,18-32 kg,12-15 years,"Friendly, Energetic, Playful, Loyal, Intelligent",A cross between Samoyed and Siberian Husky.,3,4,5,4,5,2,3,5,4,4.33,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.8,3.6,75,81,1,0.75,0.75,1,0.25,0.75,1,0.5,0.405405405,0.615384615,Moderate,Good,Good,Excellent,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,5900,120,10,6,9,2200,1200,10200
Schipperke,Dog,,Belgium,25-33 cm,3-9 kg,12-14 years,"Fearless, Agile, Confident, Faithful, Independent",A small Belgian barge dog with fox-like appearance.,3.2,4,5,2,5,5,4,4,3,3.67,2,4,0,https://en.wikipedia.org/wiki/Schipperke,2.2,2.3,67,51.6,1,0.25,0.25,1,0.75,0.75,0.75,0.55,0.243243243,0.115384615,Moderate,Moderate,Good,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Needs large open space; not ideal for small flats.,1400,120,1.5,4.5,7,0,800,2400
Schnoodle,Dog,,United States,25-66 cm,5-34 kg,10-18 years,"Intelligent, Loyal, Protective, Playful, Active",A cross between Schnauzer and Poodle.,3.2,4,5,3,4,4,3,5,2,4,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.2,3.6,75,71.6,1,0.5,0.5,0.75,0.25,0.75,1,0.55,0.513513514,0.615384615,Good,Good,Good,Good,Family Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4600,75,3,4.5,6.5,200,1200,6600
Scottish Deerhound,Dog,Deerhound,United Kingdom,71-81 cm,34-50 kg,8-11 years,"Docile, Friendly, Dignified, Gentle",A large Scottish sighthound used for deer hunting.,2.2,5,4,2,5,2,3,3,5,3.67,5,1,0,https://en.wikipedia.org/wiki/Scottish_Deerhound,3.4,3.7,77,71.6,0.75,1,0.25,1,0,1,0.5,0.3,0.567567568,0.653846154,Good,Good,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, soy, grains",3,Low,"High-protein, Easily digestible",archetype,archetype,Needs large open space; not ideal for small flats.,9900,120,11,6,9,2900,1200,15400
Scottish Terrier,Dog,Scottie,United Kingdom,25-28 cm,8-10 kg,12-15 years,"Playful, Alert, Independent, Quick, Self-assured",A small Scottish terrier with distinctive beard.,3.4,5,4,4,4,2,4,4,2,4.33,4,4,0,https://en.wikipedia.org/wiki/Scottish_Terrier,2.9,3.1,77,72.2,0.75,0.75,0.75,0.75,0.75,1,0.75,0.6,0.432432432,0.423076923,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,5,"Chicken, beef, dairy, wheat",3,Medium,"Limited ingredient, Hypoallergenic",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",2100,75,7.5,6,8,1600,800,5000
Sealyham Terrier,Dog,,United Kingdom,25-30 cm,9-10 kg,12-14 years,"Alert, Friendly, Fearless, Outgoing, Calm",A small Welsh terrier with distinctive white coat.,3.6,4,4,4,4,1,5,4,4,4,3,4,0,https://en.wikipedia.org/wiki/Sealyham_Terrier,2.6,2.8,68,66.8,0.75,0.5,0.75,0.75,0.75,0.75,0.75,0.65,0.351351351,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,80,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",2200,75,14.5,4.5,6.5,4000,500,7400
Sheepadoodle,Dog,,United States,41-66 cm,18-41 kg,12-15 years,"Intelligent, Playful, Gentle, Loyal, Energetic",A cross between Old English Sheepdog and Poodle.,3.8,5,5,4,4,3,4,5,1,4.67,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.5,3.8,84,83.4,1,0.75,0.75,0.75,0.25,1,1,0.7,0.594594595,0.692307692,Good,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,82,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Chicken, wheat, corn",3,Medium,"Balanced, Grain-free option",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",7000,75,4,6,8,900,800,9600
Shepsky,Dog,,United States,51-61 cm,20-41 kg,10-13 years,"Intelligent, Loyal, Energetic, Alert, Friendly",A mix of German Shepherd and Siberian Husky.,2.4,5,4,3,5,3,4,5,4,4,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.8,3.4,73,72.2,0.75,0.75,0.5,1,0.5,1,1,0.35,0.405405405,0.538461538,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,7200,120,6,6,8.5,1000,800,9900
Shetland Sheepdog,Dog,Sheltie,United Kingdom,33-41 cm,5-11 kg,12-14 years,"Playful, Intelligent, Trainable, Loyal, Lively",A small Scottish herding dog resembling miniature Collie.,3.2,5,5,4,4,2,4,5,5,4.67,5,4,0,https://en.wikipedia.org/wiki/Shetland_Sheepdog,2.9,3.6,88,81.6,1,1,0.75,0.75,0.75,1,1,0.55,0.432432432,0.615384615,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,84,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1900,75,11,6,8,1500,800,4600
Shiba Inu,Dog,,Japan,35-43 cm,8-10 kg,13-16 years,"Charming, Fearless, Keen, Alert, Confident",A small Japanese hunting dog with spirited personality.,4.2,4,3,3,4,4,3,4,4,3.33,3,4,0,https://en.wikipedia.org/wiki/Shiba_Inu,2.6,2.8,61,64.6,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.8,0.351351351,0.307692308,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",2100,75,3.5,4.5,6.5,200,1200,3800
Shichon,Dog,,United States,23-30 cm,4-7 kg,12-18 years,"Affectionate, Playful, Friendly, Gentle, Loving",A cross between Shih Tzu and Bichon Frise.,3.2,5,5,4,4,4,4,4,1,4.67,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.5,3.6,84,77.6,1,0.75,0.75,0.75,0.25,1,0.75,0.55,0.594594595,0.615384615,Good,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,82,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1300,75,2.5,6,8,200,800,2500
Shih Tzu,Dog,,China,20-28 cm,4-7 kg,10-18 years,"Playful, Clever, Spunky, Outgoing, Friendly",An ancient Chinese toy breed with long flowing coat.,3.8,5,3,4,2,1,3,4,3,4.33,5,2,0,https://en.wikipedia.org/wiki/Shih_Tzu,4.3,4.3,89,85.4,0.75,1,0.75,0.25,0.25,1,0.75,0.7,0.810810811,0.884615385,Excellent,Excellent,Excellent,Excellent,Family Dog,Best for families with children; Ideal for seniors or calm households; Well-suited for city living,87,"Family Dog, City / Apartment Dog",Young professional in apartment; Family with young children; Senior or retired owner,"Calm energy, good adaptability, and low vocalisation make this breed suitable for apartment living and busy urban lifestyles. High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners.",3,3,3,60,Temperate,2,"Corn, Wheat, Soy",3,High,"Balanced, Small-breed formula",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1300,30,13,6,7.5,3600,1200,6700
Shih-Poo,Dog,,United States,20-38 cm,4-9 kg,10-18 years,"Affectionate, Playful, Intelligent, Friendly, Gentle",A cross between Shih Tzu and Poodle.,3.2,5,3,2,3,2,3,4,1,3.33,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.9,3.8,74,69.6,0.5,0.75,0.25,0.5,0.25,1,0.75,0.55,0.702702703,0.692307692,Good,Good,Good,Good,Balanced / General Companion,Best for general companionship,69.6,"Family Dog, City / Apartment Dog",General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Designer/mixed breed - traits can vary based on parent breeds. Breed prone to health issues - regular veterinary check-ups and health screening recommended. Consider pet insurance.,1500,45,6,6,7.5,1500,1200,4600
Shikoku,Dog,,Japan,43-55 cm,16-26 kg,10-12 years,"Alert, Energetic, Docile, Cautious, Brave",A rare Japanese hunting dog from Shikoku Island.,3.2,4,3,2,3,4,5,4,4,3,2,2,0,https://en.wikipedia.org/wiki/Shikoku_(dog),3.6,3.2,61,57.6,0.5,0.25,0.25,0.5,0.25,0.75,0.75,0.55,0.621621622,0.461538462,Good,Good,Good,Moderate,Balanced / General Companion,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",5000,45,3.5,4.5,6,200,500,6300
Shiloh Shepherd,Dog,,United States,66-81 cm,36-73 kg,9-14 years,"Loyal, Gentle, Intelligent, Trainable, Outgoing",A large American shepherd breed developed from German Shepherds.,2.8,5,5,4,4,4,3,5,4,4.67,5,4,0,https://en.wikipedia.org/wiki/Shiloh_Shepherd,2.9,3.6,88,80.4,1,1,0.75,0.75,0.75,1,1,0.45,0.432432432,0.615384615,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,84,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",12900,75,3.5,6,8,200,1200,15700
Shiranian,Dog,,United States,18-28 cm,2-7 kg,12-16 years,"Playful, Affectionate, Loyal, Alert, Friendly",A cross between Shih Tzu and Pomeranian.,3.2,5,3,3,2,2,2,4,2,3.67,4,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,4.3,4,78,73.6,0.5,0.75,0.5,0.25,0.25,1,0.75,0.55,0.810810811,0.769230769,Excellent,Good,Good,Good,City / Apartment Dog,Ideal for seniors or calm households; Well-suited for city living,83,"Family Dog, City / Apartment Dog",Young professional in apartment; Senior or retired owner,"Calm energy, good adaptability, and low vocalisation make this breed suitable for apartment living and busy urban lifestyles. Lower energy needs, gentle behavior, and manageable vocalisation suit quieter households and senior owners.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Designer/mixed breed - traits can vary based on parent breeds.,1100,30,7.5,6,7,1400,2000,5000
Shollie,Dog,,United States,51-69 cm,20-41 kg,13-15 years,"Intelligent, Energetic, Loyal, Alert, Friendly",A mix of German Shepherd and Border Collie.,2.4,4,4,3,5,3,3,4,4,3.67,2,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,2.6,60,56.2,0.75,0.25,0.5,1,0.5,0.75,0.75,0.35,0.324324324,0.230769231,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,7200,120,6,4.5,7,1000,1200,10300
Shorkie,Dog,,United States,15-25 cm,2-7 kg,11-16 years,"Playful, Affectionate, Loyal, Energetic, Alert",A cross between Shih Tzu and Yorkshire Terrier.,2.8,4,3,2,4,4,2,3,2,3,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.6,61,52.4,0.5,0.5,0.25,0.75,0.75,0.75,0.5,0.45,0.351351351,0.230769231,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1100,75,3,4.5,6.5,200,2000,3600
Siberian Husky,Dog,Husky,Russia,51-60 cm,16-27 kg,12-14 years,"Outgoing, Intelligent, Alert, Friendly, Gentle",A medium-sized Siberian sled dog with striking blue eyes.,2.6,5,5,5,5,2,4,3,4,5,5,5,0,https://en.wikipedia.org/wiki/Siberian_Husky,2.2,2.7,84,72.8,1,1,1,1,1,1,0.5,0.4,0.243243243,0.269230769,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Generally robust),3,Low,"High-protein, High-fat",archetype,archetype,Needs large open space; not ideal for small flats.,5100,120,10,6,9,2100,800,8800
Silken Windhound,Dog,,United States,46-60 cm,10-25 kg,14-20 years,"Friendly, Affectionate, Playful, Trainable, Calm",An American sighthound with silky coat.,3.6,5,4,3,4,4,4,4,2,4,4,1,0,https://en.wikipedia.org/wiki/Silken_Windhound,3.8,3.8,77,77.8,0.75,0.75,0.5,0.75,0,1,0.75,0.65,0.675675676,0.692307692,Good,Good,Good,Good,Family Dog,Great for active owners,80,"Family Dog, City / Apartment Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",4100,75,3,6,8,200,800,5600
Silky Terrier,Dog,Australian Silky Terrier,Australia,23-26 cm,4-5 kg,13-15 years,"Friendly, Responsive, Alert, Quick, Joyful",A small Australian terrier with silky blue and tan coat.,3,4,3,2,4,4,4,4,2,3,3,4,0,https://en.wikipedia.org/wiki/Australian_Silky_Terrier,2.6,2.8,61,57,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.351351351,0.307692308,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1100,75,3,4.5,6.5,200,800,2300
Sinhala Hound,Dog,,Sri Lanka / India,50-63 cm,18-25 kg,12-14 years,"Intelligent, Loyal, Independent, Alert, Hardy","The Sinhala Hound is a landrace hunting dog from Sri Lanka, also found in parts of India. Used for hunting small game, they are hardy, intelligent, and adapt well to tropical climates.",3,4,3,3,4,1,1,4,2,3,2,3,0,https://en.wikipedia.org/wiki/Sinhala_Hound,2.9,2.8,57,58,0.5,0.25,0.5,0.75,0.5,0.75,0.75,0.5,0.432432432,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,?? Rare Sri Lankan hunting breed: High prey drive and chase instinct. Athletic build requires daily exercise. Generally hardy and adapted to tropical climate. Independent nature typical of hounds. May be stubborn in training. Limited health data and veterinary research available. Not ideal for apartment living.,5100,75,11,4.5,6.5,5200,3000,14600
Skye Terrier,Dog,,United Kingdom,23-25 cm,11-18 kg,12-14 years,"Fearless, Good-tempered, Loyal, Hardy, Courageous",A small Scottish terrier with long coat.,3.4,4,4,2,3,3,5,4,3,3.33,5,4,0,https://en.wikipedia.org/wiki/Skye_Terrier,3,3.6,80,70.2,0.75,1,0.25,0.5,0.75,0.75,0.75,0.6,0.459459459,0.615384615,Moderate,Good,Excellent,Good,Family Dog,Best for families with children,80,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",3400,45,5.5,4.5,6,700,500,5100
Sloughi,Dog,Arabian Greyhound,North Africa,61-72 cm,20-27 kg,10-15 years,"Reserved, Intelligent, Sensitive, Noble, Alert",A North African sighthound breed.,3,5,5,4,5,5,3,4,3,4.67,3,2,0,https://en.wikipedia.org/wiki/Sloughi,3.1,3.1,76,71,1,0.5,0.75,1,0.25,1,0.75,0.5,0.486486486,0.423076923,Moderate,Moderate,Good,Good,Family Dog,Great for active owners,100,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,5600,120,1.5,6,8.5,0,1200,7500
